City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,91.4,clear sky,-22.9661,-42.0278,Pousada Porto Praia
6,Kavieng,PG,82.83,broken clouds,-2.5744,150.7967,Nusa Island Retreat
8,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
13,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
14,Rikitea,PF,79.68,overcast clouds,-23.1203,-134.9692,Pension Maro'i
18,Ribeira Grande,PT,64.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
21,Cabatuan,PH,72.64,scattered clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
23,Calama,CL,75.2,clear sky,-22.4667,-68.9333,Park Hotel Calama
24,Manggar,ID,77.07,overcast clouds,-2.8833,108.2667,Guest Hotel
25,Umm Lajj,SA,70.59,scattered clouds,25.0213,37.2685,Moon light Furnished Units
27,Mar Del Plata,AR,82.4,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
28,Caravelas,BR,81.34,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
30,Cayenne,GF,84.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
31,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Castillo Galapagos
33,San Patricio,US,62.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
35,Lerdo,MX,68.0,broken clouds,25.5333,-103.5333,Comfortable house with excellent location. Come to Gomez
39,Necochea,AR,75.0,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
41,Maues,BR,80.31,overcast clouds,-3.3836,-57.7186,Hotel Miramar
45,Sattahip,TH,75.2,few clouds,12.6664,100.9007,Makmai Sailom Heights
46,Busselton,AU,63.0,clear sky,-33.65,115.3333,Observatory Guest House
48,Manaure,CO,85.82,broken clouds,11.7751,-72.4445,Hotel Palaaima
52,Kloulklubed,PW,77.0,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
53,Dingle,PH,72.12,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
54,Atuona,PF,78.13,few clouds,-9.8,-139.0333,Villa Enata
56,Miri,MY,77.0,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
57,Nouakchott,MR,80.6,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
58,Ratnagiri,IN,72.48,clear sky,16.9833,73.3,Hotel Landmark
60,Kavaratti,IN,80.08,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
62,Mossendjo,CG,71.1,light rain,-2.9506,12.7261,HOTEL D'ASSISE
63,Fare,PF,81.03,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
64,Sibolga,ID,74.26,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
65,Maceio,BR,78.8,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
66,Victoria,HK,61.0,clear sky,22.2855,114.1577,Mini Hotel Central
72,Butaritari,KI,80.85,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
73,Champerico,GT,93.2,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
74,Rocha,UY,86.68,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
75,Saldanha,ZA,62.6,clear sky,-33.0117,17.9442,Blue Bay Lodge
76,San Carlos De Bariloche,AR,66.0,light rain,-41.1456,-71.3082,Hotel Patagonia
79,Balikpapan,ID,73.63,overcast clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
80,Vaini,TO,78.8,moderate rain,-21.2,-175.2,Keleti Beach Resort
81,Coahuayana,MX,86.0,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
83,Pozo Colorado,PY,92.07,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
85,Tonj,SS,80.89,few clouds,7.2737,28.6822,
87,Cairns,AU,75.2,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
88,Conceicao Do Araguaia,BR,82.02,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
91,Rawson,AR,72.97,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
92,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
93,Farim,GW,86.0,clear sky,12.4839,-15.2217,
95,Cabo San Lucas,MX,78.8,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
96,Broken Hill,AU,73.4,clear sky,-31.95,141.4333,Royal Exchange Hotel
99,Vila Franca Do Campo,PT,64.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
101,Faanui,PF,81.43,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Morgan City,US,60.01,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
103,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Atlantis Hotel
105,Aitape,PG,77.81,overcast clouds,-3.1374,142.3475,
106,Adrar,MR,70.52,clear sky,20.5022,-10.0711,
107,Juan Lacaze,UY,82.99,light rain,-34.4342,-57.4381,Posada Agreste
108,Touros,BR,82.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
113,La Asuncion,VE,79.48,few clouds,11.0333,-63.8628,Colinas de Matasiete
116,Pouebo,NC,78.62,scattered clouds,-20.4,164.5667,
117,Port Elizabeth,ZA,60.8,scattered clouds,-33.918,25.5701,39 On Nile Guest House
120,Lebu,CL,61.77,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
123,Tonantins,BR,83.48,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
124,Palasa,IN,67.91,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
125,Hermanus,ZA,60.01,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
126,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
127,Hithadhoo,MV,81.68,moderate rain,-0.6,73.0833,Scoop Guest House
128,Kasama,ZM,63.41,overcast clouds,-10.2129,31.1808,Kalebalika Cottages
132,Airai,TL,61.81,overcast clouds,-8.9266,125.4092,Juvinal Martin
133,Port Alfred,ZA,66.99,clear sky,-33.5906,26.891,The Halyards Hotel
135,Castro,BR,70.81,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
140,Sarangani,PH,81.01,overcast clouds,5.4033,125.4636,Ballistic Islet
144,Nambucca Heads,AU,71.01,broken clouds,-30.65,153.0,Marcel Towers Holiday Apartments
146,Sambava,MG,79.23,light rain,-14.2667,50.1667,Melrose
152,Chuy,UY,77.88,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
160,Nouadhibou,MR,71.19,clear sky,20.930999999999997,-17.0347,El Medina
165,Manjeshwar,IN,75.2,overcast clouds,12.7194,74.8861,Baithul Hidaya
167,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
168,Mahajanga,MG,82.4,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
171,Gizo,SB,83.7,moderate rain,-8.103,156.8419,Imagination Island
172,Kabompo,ZM,66.31,overcast clouds,-13.5927,24.2008,Big Tree
173,Kutum,SD,62.37,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
174,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
176,Sao Joao Da Barra,BR,86.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
178,Los Llanos De Aridane,ES,66.99,broken clouds,28.6585,-17.9182,Valle Aridane
179,Bengkulu,ID,75.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
181,Taoudenni,ML,71.78,clear sky,22.6783,-3.9836,
182,Carnarvon,AU,73.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
184,Karratha,AU,83.48,light rain,-20.7377,116.8463,ibis Styles Karratha
185,Conde,BR,82.4,few clouds,-7.2597,-34.9075,Pousada Beija Flor
189,Pobe,BJ,79.61,clear sky,6.9801,2.6649,Hôtel Étoile d'Or de Pobé
192,Gibara,CU,87.8,scattered clouds,21.1097,-76.1317,Sol y Mar
193,Pirai Do Sul,BR,75.0,light rain,-24.5261,-49.9486,Hotel Victor
194,Kabwe,ZM,65.98,overcast clouds,-14.4469,28.4464,Tuskers
195,Mogadishu,SO,77.31,clear sky,2.0371,45.3438,Hotel Juba
196,Kendari,ID,74.26,overcast clouds,-3.945,122.4989,Hotel Wixel
197,Coolum Beach,AU,77.0,scattered clouds,-26.5333,153.1,Palmer Coolum Resort
199,General Roca,AR,73.4,clear sky,-39.0333,-67.5833,Hotel El Recreo
200,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
201,Sungai Besar,MY,75.2,few clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
210,Byron Bay,AU,75.2,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
213,Kieta,PG,81.05,overcast clouds,-6.2167,155.6333,
216,Ponta Do Sol,PT,60.01,scattered clouds,32.6667,-17.1,Hotel do Campo
217,Kanakapura,IN,64.02,clear sky,12.55,77.4167,Bushbetta.In Kaveri Fishing Camp
218,Kisaran,ID,72.19,heavy intensity rain,2.9845,99.6158,Penginapan Batubara1
220,Witu,KE,78.8,few clouds,-2.3889,40.4382,New City Guest House
221,Raga,SS,77.14,clear sky,8.4596,25.678,
222,Dickinson,US,60.01,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
226,Matara,LK,76.96,clear sky,5.9485,80.5353,Amaloh Boutique Resort
229,Puerto Carreno,CO,92.95,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
230,Ballina,AU,75.2,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
232,Constitucion,CL,66.56,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
234,Kruisfontein,ZA,64.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
237,Turan,VN,64.4,mist,16.0678,108.2208,Grand Mercure Danang
238,Kulhudhuffushi,MV,81.05,clear sky,6.6221,73.07,Haajy Guest House 1
239,Majene,ID,79.48,light rain,-3.5403,118.9707,Kost Putri RABBANI
240,Ancud,CL,66.0,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
241,Grand-Lahou,CI,79.39,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
242,Port Shepstone,ZA,69.37,few clouds,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
243,Cape Town,ZA,68.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
244,Geraldton,AU,68.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
248,Sabang,ID,81.52,overcast clouds,5.8933,95.3214,Hotel Citra
249,Cidreira,BR,73.89,light rain,-30.1811,-50.2056,Hotel Castelo
250,Tanete,ID,74.3,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
252,Bambanglipuro,ID,77.22,overcast clouds,-7.95,110.2833,Puri Brata
253,Talcahuano,CL,64.4,overcast clouds,-36.7167,-73.1167,Hotel Terramar
260,Vila Velha,BR,84.2,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
265,Ambovombe,MG,78.12,broken clouds,-25.1667,46.0833,RELAHARA
266,Guerrero Negro,MX,70.34,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
267,Puro,PH,76.69,overcast clouds,12.4841,123.3827,
268,Ambon,ID,81.0,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
270,East London,ZA,69.89,broken clouds,-33.0153,27.9116,Tu Casa
273,Olavarria,AR,87.8,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
274,San Matias,BO,85.51,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
276,Abu Dhabi,AE,68.0,clear sky,24.4667,54.3667,Beach Rotana
279,Vaitape,PF,81.46,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
280,Yenagoa,NG,78.84,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
281,Jeremie,HT,78.73,few clouds,18.65,-74.1167,Auberge’Inn
282,Bambous Virieux,MU,78.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
283,Gladstone,AU,73.4,few clouds,-23.85,151.25,Highpoint International
288,Tuni,IN,70.47,few clouds,17.35,82.55,Sai Krishna Lodge
291,Hualmay,PE,76.06,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
297,Gbarnga,LR,79.59,few clouds,6.9956,-9.4722,Passion Hotel 2
298,Alice Springs,AU,80.6,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
300,Paka,MY,75.2,overcast clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
303,Tautira,PF,86.0,broken clouds,-17.7333,-149.15,Pension Oaoa
306,Lorengau,PG,81.07,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
307,Calabozo,VE,94.57,clear sky,8.9242,-67.4293,Hotel Giardini
310,Ambilobe,MG,76.15,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
311,Kismayo,SO,77.76,clear sky,-0.3582,42.5454,Agan-Hotel
312,Najran,SA,66.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
313,Codrington,AU,65.23,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
315,Murray Bridge,AU,61.0,scattered clouds,-35.1167,139.2667,Balcony On Sixth Lodge
317,Imbituba,BR,78.8,heavy intensity rain,-28.24,-48.6703,Praia Hotel Imbituba
321,Mana,GF,79.48,broken clouds,5.6592,-53.7767,LE SAMANA
323,Deniliquin,AU,64.0,overcast clouds,-35.5333,144.9667,Riviana Motel
325,Ixtapa,MX,80.6,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
326,Coquimbo,CL,66.2,clear sky,-29.9533,-71.3436,Hotel San Juan
327,Kawambwa,ZM,64.11,overcast clouds,-9.7915,29.0791,"Uphill Country Lodge, Kawambwa"
328,Paracuru,BR,82.0,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
329,Mattru,SL,79.25,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
338,Diamantina,BR,73.87,scattered clouds,-18.2494,-43.6003,HOTEL MONTANHAS DE MINAS
