City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Alofi,NU,77.0,moderate rain,-19.0595,-169.9187,Taloa Heights
341,Ahipara,NZ,62.74,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
342,Hobyo,SO,76.96,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
343,Bandarbeyla,SO,73.74,clear sky,9.4942,50.8122,JABIR HOTEL
346,Morant Bay,JM,84.99,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
347,Springbok,ZA,67.95,clear sky,-29.6643,17.8865,Undulata Country Lodge
350,Kabanjahe,ID,77.0,mist,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
351,Coffs Harbour,AU,69.8,broken clouds,-30.3,153.1333,Aquajet Motel
357,San Cristobal,VE,86.0,few clouds,7.7669,-72.225,Pirineos
358,Benguela,AO,76.26,few clouds,-12.5763,13.4055,Hotel Praia Morena
359,Nisia Floresta,BR,84.2,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
360,Vao,NC,77.07,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
362,Port-Gentil,GA,80.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
367,Quatre Cocos,MU,78.01,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
368,Banjar,ID,80.6,scattered clouds,-8.19,114.9675,The Hamsa Resort
371,Pisco,PE,78.8,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
373,Mangrol,IN,63.12,clear sky,21.1167,70.1167,Hotel The Royal Honours
375,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
376,Meiktila,MM,66.56,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
377,Riyadh,SA,66.2,clear sky,24.6877,46.7219,InterContinental Riyadh
378,Miraflores,MX,71.6,broken clouds,19.2167,-98.8083,Hotel Mansión
383,Huruta,ET,60.19,scattered clouds,8.15,39.35,Keneni Hotel
385,Rock Sound,BS,72.48,overcast clouds,24.9,-76.2,Rock Sound Club
386,Key West,US,73.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
387,Lehututu,BW,82.33,broken clouds,-23.9667,21.8667,
388,Abha,SA,60.8,clear sky,18.2164,42.5053,Abha Hotel
389,Isangel,VU,78.8,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
391,Camacha,PT,60.8,mist,33.0833,-16.3333,Hotel Porto Santo & Spa
393,Paita,PE,84.2,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
396,Trinidad,BO,82.22,light rain,-14.8333,-64.9,Hotel Piesta
397,Sao Filipe,CV,75.58,clear sky,14.8961,-24.4956,Tortuga B&B
398,Simbahan,PH,81.72,clear sky,6.3032,120.5836,
399,Acarau,BR,83.7,light rain,-2.8856,-40.12,castelo pizzaria
404,Saint Simons,US,60.01,clear sky,31.1352,-81.3901,Holiday Inn Express Saint Simons Island
407,Yulara,AU,84.2,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
409,Barreirinhas,BR,82.2,heavy intensity rain,-2.7469,-42.8264,Gran Lençóis Flat Residence
410,Wenceslau Braz,BR,75.0,moderate rain,-23.8739,-49.8028,Hotel Santa Maria
411,Kuching,MY,75.2,light rain,1.55,110.3333,Hilton Kuching
418,Maningrida,AU,76.33,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
419,Omboue,GA,77.47,overcast clouds,-1.5746,9.2618,Hotel Olako
420,Caraubas,BR,89.6,few clouds,-5.7925,-37.5567,Pousada Veículos
421,Mayor Pablo Lagerenza,PY,89.22,overcast clouds,-19.9309,-60.7718,
422,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
423,Pijijiapan,MX,97.0,overcast clouds,15.7011,-93.23,Hotel Rosita
425,Port Hueneme,US,62.6,overcast clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
426,Lilongwe,MW,71.53,light rain,-13.9669,33.7873,Spendwise furnished apartments.
428,Kasongo-Lunda,CD,70.81,scattered clouds,-6.4667,16.8167,
429,San Quintin,MX,62.2,overcast clouds,30.4833,-115.95,Old Mill Hotel
432,Porto Walter,BR,86.65,clear sky,-8.2686,-72.7439,Secretaria de saúde
434,Salinopolis,BR,82.18,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
437,Ulladulla,AU,64.4,light rain,-35.35,150.4667,Sandpiper Motel
441,Nazca,PE,89.58,clear sky,-14.8333,-74.95,Casa Andina Standard Nasca
444,Holguin,CU,87.8,scattered clouds,20.8872,-76.2631,Casa Cables. Holguín
449,Gaoua,BF,80.11,clear sky,10.2992,-3.2508,
450,Inhambane,MZ,82.4,light rain,-23.865,35.3833,Oceano
451,Labuhan,ID,77.34,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
452,Ponta Delgada,PT,64.0,broken clouds,37.7333,-25.6667,Vila Nova Hotel
453,Penco,CL,64.4,overcast clouds,-36.7333,-72.9833,tabita isabel aezola vibanco
457,Biak,ID,77.09,overcast clouds,-0.9131,122.8766,Penginapan Kim
459,Bastia,FR,61.0,clear sky,42.6667,9.3333,Hotel Santa Maria
461,Flinders,AU,66.99,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
463,Kudahuvadhoo,MV,80.71,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
464,Trincomalee,LK,78.62,light rain,8.5711,81.2335,Welcombe Hotel
466,Patos,BR,85.26,overcast clouds,-7.0244,-37.28,Hotel JK
467,Djambala,CG,69.69,scattered clouds,-2.5447,14.7533,Hotel Ravin D'or
469,Itarema,BR,83.3,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
470,Luau,AO,64.9,moderate rain,-10.7073,22.2247,Kimbo Hotel
473,Bermejo,AR,84.2,clear sky,-32.8833,-68.8,Hotel Mendoza
481,Jagtial,IN,69.26,clear sky,18.8,78.9333,Somulaxmni water plant
482,Tete,MZ,80.22,overcast clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
483,Muncar,ID,75.47,overcast clouds,-8.4333,114.3333,Zaky Homestay
484,La Primavera,CO,93.78,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
486,Dzaoudzi,YT,80.6,clear sky,-12.7887,45.2699,Le Rocher
487,Sulangan,PH,79.66,overcast clouds,11.1373,123.7228,Maia's Beach Resort
489,Banda Aceh,ID,78.08,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
490,Anuradhapura,LK,70.07,broken clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
491,Horta,PT,64.4,broken clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
492,Port Lincoln,AU,61.2,few clouds,-34.7333,135.8667,Port Lincoln Hotel
494,Kintampo,GH,82.67,clear sky,8.0563,-1.7306,Adomaa Memorial Hotel
497,Port Maria,JM,84.99,clear sky,18.3685,-76.8895,Galina Breeze Hotel
498,Padang,ID,75.2,broken clouds,-0.9492,100.3543,Mercure Padang
502,Chicama,PE,73.4,clear sky,-7.8447,-79.1469,Hospedaje Punta Cana PERU
503,Villa Del Rosario,CO,86.0,few clouds,7.8339,-72.4742,Hotel Villas de San Diego
504,Charters Towers,AU,70.21,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
505,Letlhakane,BW,77.29,moderate rain,-21.4167,25.5833,Motswedi Hotel P650
508,Quang Ngai,VN,65.43,overcast clouds,15.1167,108.8,Central Hotel
510,Mitsamiouli,KM,82.58,clear sky,-11.3847,43.2844,Foyer ADM
517,Nabire,ID,74.71,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
518,Namibe,AO,74.59,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
519,Lagoa,PT,62.96,overcast clouds,39.05,-27.9833,Casa Das Faias
521,Mount Gambier,AU,64.4,light rain,-37.8333,140.7667,Commodore on the Park
524,Sassandra,CI,78.31,clear sky,4.95,-6.0833,la terrasse
525,Hambantota,LK,76.12,overcast clouds,6.1241,81.1185,Bungalow 63
526,Quelimane,MZ,84.2,few clouds,-17.8786,36.8883,Hotel Flamingo
527,Rustenburg,ZA,69.12,light rain,-25.6676,27.2421,Rustenburg Boutique Hotel
528,Nata,PA,89.6,scattered clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
529,Marsh Harbour,BS,67.55,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
531,Quebo,GW,73.78,scattered clouds,11.3333,-14.9333,
532,Ca Mau,VN,75.79,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
534,Bubaque,GW,79.07,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
536,Phalaborwa,ZA,71.6,overcast clouds,-23.943,31.1411,Bothabelo B&B
537,Muswellbrook,AU,68.0,overcast clouds,-32.2667,150.9,Wayfarer Motel
538,Whyalla,AU,68.0,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
540,Aguimes,ES,68.0,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
541,Sokoni,TZ,82.4,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
542,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
545,Djenne,ML,76.42,clear sky,13.9061,-4.5533,Hôtel Chez Baba
552,Buriti Bravo,BR,78.48,moderate rain,-5.8372,-43.8336,Hotel Fazenda
556,Tari,NG,79.02,clear sky,12.4086,4.4914,
557,Santa Fe Do Sul,BR,86.9,overcast clouds,-20.2111,-50.9258,Litani Park Hotel - Hotel Santa Fé do Sul
558,Bandar-E Lengeh,IR,64.51,clear sky,26.5579,54.8807,کافی نت پارس
561,Gigmoto,PH,75.2,overcast clouds,13.7796,124.39,Cj's Travellers Inn
562,Tessalit,ML,71.26,clear sky,20.1986,1.0114,
563,Biloela,AU,68.56,clear sky,-24.4167,150.5,Silo Motor Inn
564,Poum,NC,79.95,scattered clouds,-20.2333,164.0167,Gîte kajeon
567,Palembang,ID,73.89,overcast clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
570,Naron,ES,61.0,broken clouds,43.5167,-8.1528,Marcial
571,Ranong,TH,75.13,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
572,Mangai,CD,73.33,scattered clouds,-4.05,19.5333,
575,Haapiti,PF,86.0,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
576,Bowen,AU,73.4,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
577,Embu,BR,87.01,scattered clouds,-23.6489,-46.8522,Hotel Rancho Silvestre
579,Harper,LR,78.66,clear sky,4.375,-7.7169,Screensaver
580,Bonthe,SL,79.45,clear sky,7.5264,-12.505,Bonthe Holiday Village
581,Venice,US,69.8,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
589,Malanje,AO,65.39,light rain,-9.5402,16.340999999999998,Malanje Hotel
591,Belmonte,BR,84.2,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
593,Boyolangu,ID,74.82,heavy intensity rain,-8.1181,111.8935,Yos ega cv
594,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
596,Bilma,NE,66.4,clear sky,18.6853,12.9164,Expeditions Ténére voyages
597,Rumonge,BI,72.23,scattered clouds,-3.9736,29.4386,Kwetu Guest House
600,Eyl,SO,72.36,clear sky,7.9803,49.8164,Amiin Hotel
602,Labis,MY,71.38,overcast clouds,2.385,103.021,Labis Sunrise Farm
603,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
605,Valparaiso,CL,84.2,clear sky,-33.0393,-71.6273,Hotel Ultramar
611,Zemio,CF,82.06,overcast clouds,5.0314,25.1361,OCHA Office
612,Kyabram,AU,66.0,overcast clouds,-36.3167,145.05,Kyabram Motor Inn
619,Progreso,MX,77.0,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
620,Lethem,GY,89.37,overcast clouds,3.3803,-59.7968,Savannah Inn
624,Port Hedland,AU,78.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
625,Tutoia,BR,84.2,scattered clouds,-2.7619,-42.2744,Pousada Guará's
627,Pathein,MM,72.95,clear sky,16.7833,94.7333,Pathein Hotel
628,Salalah,OM,71.6,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
629,Toumodi,CI,84.0,clear sky,6.5613,-5.0158,Hotel Akanza
630,Meru,KE,60.76,few clouds,0.0463,37.6559,Meru Paramount Hotel
639,Nuevo Laredo,MX,64.4,broken clouds,27.4763,-99.5164,La Posada Hotel
642,Pochutla,MX,88.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
643,Sao Felix Do Xingu,BR,72.63,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
644,Maumere,ID,80.44,moderate rain,-8.6199,122.2111,Sylvia Hotel
646,Pandan,PH,75.61,overcast clouds,14.0453,124.1694,Bonifacio Lodge
648,Mananjary,MG,78.33,clear sky,-21.2167,48.3333,Vahiny Lodge
649,Lydenburg,ZA,60.76,light rain,-25.0978,30.4597,The Palms Boutique Hotel
650,Bosaso,SO,74.03,clear sky,11.2842,49.1816,Red Sea Hotel
651,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
653,Isla Aguada,MX,80.6,scattered clouds,18.7833,-91.4667,Freedom Shores
654,Hinganghat,IN,71.6,mist,20.5667,78.8333,Abhay Tattoos
655,Waingapu,ID,78.08,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
657,Atar,MR,74.1,clear sky,20.5169,-13.0499,Oumou Elghoura
658,Comodoro Rivadavia,AR,69.8,scattered clouds,-45.8667,-67.5,Austral Hotel
659,Tomatlan,MX,88.61,few clouds,19.9333,-105.25,Norma franco
660,Muscat,OM,64.4,clear sky,23.6139,58.5922,Mutrah Hotel
665,Oriximina,BR,86.38,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
668,Kupang,ID,80.06,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
669,Piacabucu,BR,80.87,broken clouds,-10.4056,-36.4344,Piaçabuçu News
672,Moussoro,TD,73.89,scattered clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
673,Ngunguru,NZ,64.99,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
675,Dakar,SN,73.4,clear sky,14.6937,-17.4441,Novotel Dakar
